Original_Diagnosis,ICD_Code,ICD_Description,Match_Score,Suggested_Alternatives,Justification
"Diabetes mellitus without mention of complication, type II or unspecified type, not stated as uncontrolled",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Pure hypercholesterolemia,E7800,"Pure hypercholesterolemia, unspecified",90.0,,"Fuzzy matched to: 'Pure hypercholesterolemia, unspecified' with score 90.0"
Unspecified acquired hypothyroidism,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
Personal history of malignant melanoma of skin,Z85820,Personal history of malignant melanoma of skin,100.0,,Fuzzy matched to: 'Personal history of malignant melanoma of skin' with score 100.0
"Hypotension, unspecified",I959,"Hypotension, unspecified",100.0,,"Fuzzy matched to: 'Hypotension, unspecified' with score 100.0"
Acute appendicitis with generalized peritonitis,K35200,"Acute appendicitis with generalized peritonitis, without perforation or abscess",90.0,,"Fuzzy matched to: 'Acute appendicitis with generalized peritonitis, without perforation or abscess' with score 90.0"
Long-term (current) use of aspirin,Z7982,Long term (current) use of aspirin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of aspirin' with score 97.05882352941177
"Acquired absence of organ, genital organs",Z9079,Acquired absence of other genital organ(s),89.1566265060241,,Fuzzy matched to: 'Acquired absence of other genital organ(s)' with score 89.1566265060241
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Long-term (current) use of anticoagulants,Z7901,Long term (current) use of anticoagulants,97.5609756097561,,Fuzzy matched to: 'Long term (current) use of anticoagulants' with score 97.5609756097561
"Obesity, unspecified",E669,"Obesity, unspecified",100.0,,"Fuzzy matched to: 'Obesity, unspecified' with score 100.0"
Open fracture of shaft of femur,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
Closed fracture of four ribs,A155,"Tuberculosis of larynx, trachea and bronchus",85.5,,"Fuzzy matched to: 'Tuberculosis of larynx, trachea and bronchus' with score 85.5"
Other motor vehicle traffic accident involving collision with motor vehicle injuring driver of motor vehicle other than motorcycle,A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Tobacco use disorder,Z720,Tobacco use,90.0,,Fuzzy matched to: 'Tobacco use' with score 90.0
"Streptococcus infection in conditions classified elsewhere and of unspecified site, streptococcus, group D [Enterococcus]",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Street and highway accidents,A09,"Infectious gastroenteritis and colitis, unspecified",85.5,,"Fuzzy matched to: 'Infectious gastroenteritis and colitis, unspecified' with score 85.5"
Injury to thoracic aorta,A000,"Cholera due to Vibrio cholerae 01, biovar cholerae",85.5,,"Fuzzy matched to: 'Cholera due to Vibrio cholerae 01, biovar cholerae' with score 85.5"
"Acute edema of lung, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
"Urinary tract infection, site not specified",N390,"Urinary tract infection, site not specified",100.0,,"Fuzzy matched to: 'Urinary tract infection, site not specified' with score 100.0"
Acute respiratory failure,J9600,"Acute respiratory failure, unspecified whether with hypoxia or hypercapnia",90.0,,"Fuzzy matched to: 'Acute respiratory failure, unspecified whether with hypoxia or hypercapnia' with score 90.0"
Hypopotassemia,,,72.0,"[{'ICD_Code': 'E861', 'ICD_Description': 'Hypovolemia', 'Score': 72.0}, {'ICD_Code': 'E876', 'ICD_Description': 'Hypokalemia', 'Score': 72.0}, {'ICD_Code': 'E8342', 'ICD_Description': 'Hypomagnesemia', 'Score': 71.42857142857143}]",No confident match (top score 72.0). Suggested alternatives provided.
"Peripheral vascular disease, unspecified",I739,"Peripheral vascular disease, unspecified",100.0,,"Fuzzy matched to: 'Peripheral vascular disease, unspecified' with score 100.0"
"Venous (peripheral) insufficiency, unspecified",A009,"Cholera, unspecified",85.5,,"Fuzzy matched to: 'Cholera, unspecified' with score 85.5"
Mitral valve disorders,I3489,Other nonrheumatic mitral valve disorders,87.90697674418604,,Fuzzy matched to: 'Other nonrheumatic mitral valve disorders' with score 87.90697674418604
Acquired absence of both cervix and uterus,Z90710,Acquired absence of both cervix and uterus,100.0,,Fuzzy matched to: 'Acquired absence of both cervix and uterus' with score 100.0
"Backache, unspecified",R519,"Headache, unspecified",85.71428571428572,,"Fuzzy matched to: 'Headache, unspecified' with score 85.71428571428572"
"Body Mass Index 45.0-49.9, adult",Z6842,"Body mass index [BMI] 45.0-49.9, adult",85.71428571428572,,"Fuzzy matched to: 'Body mass index [BMI] 45.0-49.9, adult' with score 85.71428571428572"
"Accidental cut, puncture, perforation or hemorrhage during heart catheterization",A0102,Typhoid fever with heart involvement,85.5,,Fuzzy matched to: 'Typhoid fever with heart involvement' with score 85.5
Other chronic pain,G8929,Other chronic pain,100.0,,Fuzzy matched to: 'Other chronic pain' with score 100.0
Long-term (current) use of insulin,Z794,Long term (current) use of insulin,97.05882352941177,,Fuzzy matched to: 'Long term (current) use of insulin' with score 97.05882352941177
Unspecified essential hypertension,A89,Unspecified viral infection of central nervous system,85.5,,Fuzzy matched to: 'Unspecified viral infection of central nervous system' with score 85.5
Old myocardial infarction,I252,Old myocardial infarction,100.0,,Fuzzy matched to: 'Old myocardial infarction' with score 100.0
Unspecified accident,A64,Unspecified sexually transmitted disease,85.5,,Fuzzy matched to: 'Unspecified sexually transmitted disease' with score 85.5
Coronary atherosclerosis of native coronary artery,A063,Ameboma of intestine,85.5,,Fuzzy matched to: 'Ameboma of intestine' with score 85.5
